SMSA70,,STATE,COUNTY,,,,msaLABEL
3280,,9,3,,71390,,South Windsor town
3280,,9,3,,74540,,Suffield town
3280,,9,3,,82590,,West Hartford town
3280,,9,3,,84900,,Wethersfield town
3280,,9,3,,87000,,Windsor town
3280,,9,3,,87070,,Windsor Locks town
3280,,9,7,,,,Middlesex County (pt.)
3280,,9,7,,18080,,Cromwell town
3280,,9,13,,,,Tolland County (pt.)
3280,,9,13,,1080,,Andover town
3280,,9,13,,6260,,Bolton town
3280,,9,13,,17800,,Coventry town
3280,,9,13,,25360,,Ellington town
3280,,9,13,,78250,,Vernon town
,,,,,,,
3320,,,,,,,"Honolulu, HI SMSA"
3320,,15,3,,,,Honolulu County
,,,,,,,
3360,,,,,,,"Houston, TX SMSA"
3360,,48,39,,,,Brazoria County
3360,,48,157,,,,Fort Bend County
3360,,48,201,,,,Harris County
3360,,48,291,,,,Liberty County
3360,,48,339,,,,Montgomery County
,,,,,,,
3400,,,,,,,"Huntington-Ashland, WV-KY-OH SMSA"
3400,,21,19,,,,"Boyd County, KY"
3400,,39,87,,,,"Lawrence County, OH"
3400,,54,11,,,,"Cabell County, WV"
3400,,54,99,,,,"Wayne County, WV"
,,,,,,,
3440,,,,,,,"Huntsville, AL SMSA"
3440,,1,83,,,,Limestone County
3440,,1,89,,,,Madison County
,,,,,,,
3480,,,,,,,"Indianapolis, IN SMSA"
3480,,18,11,,,,Boone County
3480,,18,57,,,,Hamilton County
3480,,18,59,,,,Hancock County
3480,,18,63,,,,Hendricks County
3480,,18,81,,,,Johnson County
3480,,18,97,,,,Marion County
3480,,18,109,,,,Morgan County
3480,,18,145,,,,Shelby County
,,,,,,,
3520,,,,,,,"Jackson, MI SMSA"
3520,,26,75,,,,Jackson County
,,,,,,,
3560,,,,,,,"Jackson, MS SMSA"
3560,,28,49,,,,Hinds County
3560,,28,121,,,,Rankin County
,,,,,,,
3600,,,,,,,"Jacksonville, FL SMSA"
3600,,12,31,,,,Duval County
,,,,,,,
3640,,,,,,,"Jersey City, NJ SMSA"
3640,,34,17,,,,Hudson County
,,,,,,,
3680,,,,,,,"Johnstown, PA SMSA"
3680,,42,21,,,,Cambria County
3680,,42,111,,,,Somerset County
,,,,,,,
3720,,,,,,,"Kalamazoo, MI SMSA"
3720,,26,77,,,,Kalamazoo County
,,,,,,,
3760,,,,,,,"Kansas City, MO-KS SMSA"
3760,,20,91,,,,"Johnson County, KS"
3760,,20,209,,,,"Wyandotte County, KS"
3760,,29,37,,,,"Cass County, MO"
3760,,29,47,,,,"Clay County, MO"
3760,,29,95,,,,"Jackson County, MO"
3760,,29,165,,,,"Platte County, MO"
,,,,,,,
3800,,,,,,,"Kenosha, WI SMSA"
3800,,55,59,,,,Kenosha County
,,,,,,,
3840,,,,,,,"Knoxville, TN SMSA"
3840,,47,1,,,,Anderson County
3840,,47,9,,,,Blount County
3840,,47,93,,,,Knox County
3840,,47,173,,,,Union County
,,,,,,,
3870,,,,,,,"La Crosse, WI SMSA"
3870,,55,63,,,,La Crosse County
,,,,,,,
3880,,,,,,,"Lafayette, LA SMSA"
3880,,22,55,,,,Lafayette Parish
,,,,,,,
3920,,,,,,,"Lafayette-West Lafayette, IN SMSA"
3920,,18,157,,,,Tippecanoe County
,,,,,,,
3960,,,,,,,"Lake Charles, LA SMSA"
3960,,22,19,,,,Calcasieu Parish
,,,,,,,
4000,,,,,,,"Lancaster, PA SMSA"
4000,,42,71,,,,Lancaster County
,,,,,,,
4040,,,,,,,"Lansing, MI SMSA"
4040,,26,37,,,,Clinton County
4040,,26,45,,,,Eaton County
4040,,26,65,,,,Ingham County
,,,,,,,
4080,,,,,,,"Laredo, TX SMSA"
4080,,48,479,,,,Webb County
,,,,,,,
4120,,,,,,,"Las Vegas, NV SMSA"
4120,,32,3,,,,Clark County
,,,,,,,
4160,,,,,,,"Lawrence-Haverhill, MA-NH SMSA"
4160,,25,9,,,,"Essex County, MA (pt.)"
4160,,25,9,,1465,,Andover town
4160,,25,9,,25625,,Georgetown town
4160,,25,9,,27620,,Groveland town
4160,,25,9,,29405,,Haverhill city
4160,,25,9,,34550,,Lawrence city
4160,,25,9,,40430,,Merrimac town
4160,,25,9,,40675,,Methuen town
4160,,25,9,,46365,,North Andover town
4160,,25,9,,77150,,West Newbury town
4160,,33,15,,,,"Rockingham County, NH (pt.)"
4160,,33,15,,52900,,Newton town
4160,,33,15,,62500,,Plaistow town
4160,,33,15,,66660,,Salem town
,,,,,,,
4200,,,,,,,"Lawton, OK SMSA"
4200,,40,31,,,,Comanche County
,,,,,,,
4240,,,,,,,"Lewiston-Auburn, ME SMSA"
4240,,23,1,,,,Androscoggin County (pt.)
4240,,23,1,,2060,,Auburn city
4240,,23,1,,38740,,Lewiston city
4240,,23,1,,40035,,Lisbon town
,,,,,,,
4280,,,,,,,"Lexington, KY SMSA"
4280,,21,67,,,,Fayette County
,,,,,,,
4320,,,,,,,"Lima, OH SMSA"
4320,,39,3,,,,Allen County
4320,,39,137,,,,Putnam County
4320,,39,161,,,,Van Wert County
,,,,,,,
4360,,,,,,,"Lincoln, NE SMSA"
4360,,31,109,,,,Lancaster County
,,,,,,,
4400,,,,,,,"Little Rock-North Little Rock, AR SMSA"
4400,,5,119,,,,Pulaski County
4400,,5,125,,,,Saline County
,,,,,,,
4440,,,,,,,"Lorain-Elyria, OH SMSA"
4440,,39,93,,,,Lorain County
,,,,,,,
4480,,,,,,,"Los Angeles-Long Beach, CA SMSA"
4480,,6,37,,,,Los Angeles County
,,,,,,,
4520,,,,,,,"Louisville, KY-IN SMSA"
4520,,18,19,,,,"Clark County, IN"
4520,,18,43,,,,"Floyd County, IN"
4520,,21,111,,,,"Jefferson County, KY"
,,,,,,,
4560,,,,,,,"Lowell, MA SMSA"
4560,,25,17,,,,"Middlesex County, MA (pt.)"
4560,,25,17,,5805,,Billerica town
4560,,25,17,,13135,,Chelmsford town
4560,,25,17,,17475,,Dracut town
4560,,25,17,,37000,,Lowell city
4560,,25,17,,69415,,Tewksbury town
4560,,25,17,,71025,,Tyngsborough town
4560,,25,17,,76135,,Westford town
,,,,,,,
4600,,,,,,,"Lubbock, TX SMSA"
4600,,48,303,,,,Lubbock County
,,,,,,,
4640,,,,,,,"Lynchburg, VA SMSA"
4640,,51,9,,,,Amherst County
4640,,51,31,,,,Campbell County
4640,,51,680,,,,Lynchburg city
,,,,,,,
4680,,,,,,,"Macon, GA SMSA"
4680,,13,21,,,,Bibb County
4680,,13,153,,,,Houston County
,,,,,,,
4720,,,,,,,"Madison, WI SMSA"
4720,,55,25,,,,Dane County
,,,,,,,
4760,,,,,,,"Manchester, NH SMSA"
4760,,33,11,,,,Hillsborough County (pt.)
4760,,33,11,,4500,,Bedford town
4760,,33,11,,29860,,Goffstown town
4760,,33,11,,45140,,Manchester city
4760,,33,13,,,,Merrimack County (pt.)
4760,,33,13,,37300,,Hooksett town
,,,,,,,
4800,,,,,,,"Mansfield, OH SMSA"
4800,,39,139,,,,Richland County
,,,,,,,
4840,,,,,,,"Mayaguez, PR SMSA"
4840,,72,97,,,,Mayaguez Municipio
,,,,,,,
4880,,,,,,,"McAllen-Pharr-Edinburg, TX SMSA"
4880,,48,215,,,,Hidalgo County
,,,,,,,
4920,,,,,,,"Memphis, TN-AR SMSA"
4920,,5,35,,,,"Crittenden County, AR"
4920,,47,157,,,,"Shelby County, TN"
,,,,,,,
4960,,,,,,,"Meriden, CT SMSA"
4960,,9,9,,,,New Haven County (pt.)
4960,,9,9,,46450,,Meriden city
,,,,,,,
5000,,,,,,,"Miami, FL SMSA"
5000,,12,25,,,,Dade County
,,,,,,,
5040,,,,,,,"Midland, TX SMSA"
5040,,48,329,,,,Midland County
,,,,,,,
5080,,,,,,,"Milwaukee, WI SMSA"
5080,,55,79,,,,Milwaukee County
5080,,55,89,,,,Ozaukee County
5080,,55,131,,,,Washington County
5080,,55,133,,,,Waukesha County
,,,,,,,
5120,,,,,,,"Minneapolis-St. Paul, MN SMSA"
5120,,27,3,,,,"Anoka County, MN"
5120,,27,37,,,,"Dakota County, MN"
5120,,27,53,,,,"Hennepin County, MN"
5120,,27,123,,,,"Ramsey County, MN"
5120,,27,163,,,,"Washington County, MN"
,,,,,,,
5160,,,,,,,"Mobile, AL SMSA"
5160,,1,3,,,,Baldwin County
5160,,1,97,,,,Mobile County
,,,,,,,
5170,,,,,,,"Modesto, CA SMSA"
5170,,6,99,,,,Stanislaus County
,,,,,,,
5200,,,,,,,"Monroe, LA SMSA"
5200,,22,73,,,,Ouachita Parish
,,,,,,,
5240,,,,,,,"Montgomery, AL SMSA"
5240,,1,51,,,,Elmore County
5240,,1,101,,,,Montgomery County
,,,,,,,
5280,,,,,,,"Muncie, IN SMSA"
5280,,18,35,,,,Delaware County
,,,,,,,
5320,,,,,,,"Muskegon-Muskegon Heights, MI SMSA"
5320,,26,121,,,,Muskegon County
,,,,,,,
5350,,,,,,,"Nashua, NH SMSA"
5350,,33,11,,,,Hillsborough County (pt.)
5350,,33,11,,37940,,Hudson town
5350,,33,11,,50260,,Nashua city
,,,,,,,
5360,,,,,,,"Nashville-Davidson, TN SMSA"
5360,,47,37,,,,Davidson County
5360,,47,165,,,,Sumner County
5360,,47,189,,,,Wilson County
,,,,,,,
5400,,,,,,,"New Bedford, MA SMSA"
5400,,25,5,,,,Bristol County (pt.)
5400,,25,5,,520,,Acushnet town
5400,,25,5,,16425,,Dartmouth town
5400,,25,5,,22130,,Fairhaven town
5400,,25,5,,45000,,New Bedford city
5400,,25,23,,,,Plymouth County (pt.)
5400,,25,23,,38540,,Marion town
5400,,25,23,,39450,,Mattapoisett town
,,,,,,,
5440,,,,,,,"New Britain, CT SMSA"
5440,,9,3,,,,Hartford County (pt.)
5440,,9,3,,4300,,Berlin town
5440,,9,3,,50370,,New Britain city
5440,,9,3,,60120,,Plainville town
5440,,9,3,,70550,,Southington town
,,,,,,,
5480,,,,,,,"New Haven, CT SMSA"
5480,,9,9,,,,New Haven County (pt.)
5480,,9,9,,4580,,Bethany town
5480,,9,9,,7310,,Branford town
